Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Kidney,Pancreas,Kidney_Mafa,Pancreas_Ins2,Mafa,Ins2,12,-0.33212977996146664,0.2915440298668043,157,0.027351916376306618,0.5329499144698906,False,False
Kidney,Pancreas,Kidney_Zfand6,Pancreas_Glut1,Zfand6,Glut1,10,-0.3668979082364854,0.2970041018782238,158,0.027526132404181187,0.5394947926522167,False,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Mafa,Mafa,Mafa,12,0.3258763726592013,0.3012760194836782,159,0.027700348432055752,0.5416760427680698,False,False
Colon,Pancreas,Colon_Tcf19,Pancreas_Ins1,Tcf19,Ins1,6,-0.5094108123176005,0.30197967541077064,160,0.027874564459930314,0.5416760427680698,False,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Glut1,Mafa,Glut1,12,0.3207524974377345,0.30938372014832727,161,0.028048780487804882,0.5515101098296269,False,False
Kidney,Spleen,Kidney_Glut1,Spleen_Glut1,Glut1,Glut1,12,-0.31739566704939304,0.3147602939233778,162,0.028222996515679444,0.5552735255399609,False,False
Colon,Spleen,Colon_Insr,Spleen_Glut1,Insr,Glut1,12,0.3170204813726527,0.3153644064913367,163,0.02839721254355401,0.5552735255399609,False,False
Colon,Liver,Colon_Zfand6,Liver_Ghrhr,Zfand6,Ghrhr,12,-0.30697907624497495,0.33176950055103227,164,0.02857142857142857,0.5801004039959223,False,False
Kidney,Spleen,Kidney_Insr,Spleen_Insr,Insr,Insr,12,-0.304928110022116,0.33517612183838696,165,0.02874564459930314,0.5801004039959223,False,False
Colon,Pancreas,Colon_Tcf19,Pancreas_Srr,Tcf19,Srr,12,0.3047166315005094,0.335528456666631,166,0.028919860627177704,0.5801004039959223,False,False
Colon,Spleen,Colon_Glp1r,Spleen_Glut1,Glp1r,Glut1,12,0.29808191444385634,0.3466836873574395,167,0.029094076655052266,0.5923704683976754,False,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Zfand6,Ins2,Zfand6,12,0.2980407887547349,0.34675344491571236,168,0.029268292682926828,0.5923704683976754,False,False
Kidney,Pancreas,Kidney_Zfand6,Pancreas_Insr,Zfand6,Insr,11,-0.31110655653540054,0.3517342034180713,169,0.029442508710801396,0.5973237655679673,False,False
Kidney,Spleen,Kidney_Insr,Spleen_Glut1,Insr,Glut1,12,-0.29203163304952795,0.3570266623082731,170,0.02961672473867596,0.6027450122498493,False,False
Liver,Spleen,Liver_Ghrhr,Spleen_Insr,Ghrhr,Insr,12,-0.285498258123582,0.3683763151189977,171,0.029790940766550523,0.618269020112002,False,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Ins1,Zfand6,Ins1,6,0.4447306438152279,0.3768846363086161,172,0.029965156794425088,0.6288714570963536,False,False
Colon,Kidney,Colon_Insr,Kidney_Glut1,Insr,Glut1,12,-0.2778795470268654,0.38184603246869214,173,0.030139372822299657,0.6334671174480615,False,False
Kidney,Spleen,Kidney_Zfand6,Spleen_Zfand6,Zfand6,Zfand6,12,-0.2730390453147813,0.39053376953487906,174,0.030313588850174218,0.6441562750374155,False,False
Kidney,Spleen,Kidney_Insr,Spleen_Tcf19,Insr,Tcf19,12,0.2699654936497714,0.3961020576926867,175,0.03048780487804878,0.6453176899750306,False,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Mafa,Glp1r,Mafa,12,0.26983468316780296,0.396339933637172,176,0.030662020905923345,0.6453176899750306,False,False
Kidney,Pancreas,Kidney_Glut1,Pancreas_Mafa,Glut1,Mafa,12,-0.2684693102241162,0.3988271555242185,177,0.030836236933797914,0.6453176899750306,False,False
Colon,Liver,Colon_Zfand6,Liver_Glut1,Zfand6,Glut1,12,-0.26494525647621603,0.4052830528969523,178,0.031010452961672475,0.6453176899750306,False,False
Kidney,Pancreas,Kidney_Insr,Pancreas_Insr,Insr,Insr,11,-0.27938221639845207,0.4054012375828759,179,0.03118466898954704,0.6453176899750306,False,False
Colon,Liver,Colon_Zfand6,Liver_Tbc1d4,Zfand6,Tbc1d4,12,-0.26481094582226183,0.4055301360770644,180,0.0313588850174216,0.6453176899750306,False,False
Liver,Spleen,Liver_Tcf19,Spleen_Zfand6,Tcf19,Zfand6,12,0.26402508125434154,0.4069773584859949,181,0.03153310104529617,0.6453176899750306,False,False
Colon,Spleen,Colon_Zfand6,Spleen_Zfand6,Zfand6,Zfand6,12,0.2602209763759006,0.41401933223682996,182,0.03170731707317073,0.6509112261107386,False,False
Kidney,Spleen,Kidney_Glut1,Spleen_Mafa,Glut1,Mafa,12,-0.2587588330618178,0.4167419898883369,183,0.031881533101045294,0.6509112261107386,False,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Mafa,Glut1,Mafa,10,0.28942247425788953,0.4173089393880693,184,0.03205574912891986,0.6509112261107386,False,False
Colon,Spleen,Colon_Tcf19,Spleen_Glut1,Tcf19,Glut1,12,0.24987281701720315,0.4334778423602858,185,0.03222996515679443,0.6724764365264975,False,False
